Model,Task,Metric,Original,SMOTE
RF,Binary,Accuracy,0.883,0.874
RF,Binary,F1-score,0.881,0.873
RF,Binary,Precision,0.884,0.873
RF,Binary,Recall,0.883,0.874
RF,Multiclass,Accuracy,0.856,0.856
RF,Multiclass,F1-score,0.841,0.853
RF,Multiclass,Precision,0.851,0.857
RF,Multiclass,Recall,0.856,0.856
SVM,Binary,Accuracy,0.757,0.838
SVM,Binary,F1-score,0.721,0.826
SVM,Binary,Precision,0.826,0.872
SVM,Binary,Recall,0.757,0.838
SVM,Multiclass,Accuracy,0.766,0.658
SVM,Multiclass,F1-score,0.695,0.685
SVM,Multiclass,Precision,0.67,0.783
SVM,Multiclass,Recall,0.766,0.658
